accession	encodeDAccession	notes
wgEncodeEH002046	ENCSR000DXT	
wgEncodeEH002047	ENCSR000DXY	
wgEncodeEH002048	ENCSR000DXX	
wgEncodeEH002049	ENCSR000DRF	
wgEncodeEH002050	ENCSR000DRH	
wgEncodeEH002051	ENCSR000DRI	
wgEncodeEH002052	ENCSR000DRJ	
wgEncodeEH002053	ENCSR000DRK	
wgEncodeEH002054	ENCSR000DRL	
wgEncodeEH002055	ENCSR000DTO	
wgEncodeEH002056	ENCSR000DVQ	
wgEncodeEH002057	ENCSR000DWH	
wgEncodeEH002058	ENCSR000DWQ	
wgEncodeEH002059	ENCSR000DXD	
wgEncodeEH002060	ENCSR000DDK	
wgEncodeEH002061	ENCSR000DDJ	
wgEncodeEH002062	ENCSR000DDI	
wgEncodeEH002063	ENCSR000DDH	
wgEncodeEH002064	ENCSR000DNN	
wgEncodeEH002065	ENCSR000DNM	
wgEncodeEH002066	ENCSR000DNS	
wgEncodeEH002067	ENCSR000DNR	
wgEncodeEH002068	ENCSR000EVX	
wgEncodeEH002069	ENCSR000EVF	
wgEncodeEH002070	ENCSR000EXM	
wgEncodeEH002071	ENCSR000EXL	
wgEncodeEH002072	ENCSR000EWT	
wgEncodeEH002073	ENCSR650BMA	
wgEncodeEH002074	ENCSR558QVW	
wgEncodeEH002075	ENCSR000CAC	
wgEncodeEH002076	ENCSR000CAD	
wgEncodeEH002077	ENCSR000DNB	
wgEncodeEH002078	ENCSR000DNA	
wgEncodeEH002079	ENCSR000DMZ	
wgEncodeEH002080	ENCSR000EXK	
wgEncodeEH002081	ENCSR000EXJ	
wgEncodeEH002082	ENCSR000APX	
wgEncodeEH002083	ENCSR000APY	
wgEncodeEH002084	ENCSR000APZ	
wgEncodeEH002085	ENCSR000AQA	
wgEncodeEH002086	ENCSR000AQB	
wgEncodeEH002087	ENCSR000AQC	
wgEncodeEH002088	ENCSR000AQD	
wgEncodeEH002089	ENCSR000AQE	
wgEncodeEH002090	ENCSR000AQF	
wgEncodeEH002091	ENCSR000AQG	
wgEncodeEH002092	ENCSR000AQH	
wgEncodeEH002093	ENCSR000AQI	
wgEncodeEH002094	ENCSR000AQJ	
wgEncodeEH002095	ENCSR000AQK	
wgEncodeEH002096	ENCSR000AQL	
wgEncodeEH002097	ENCSR000CXZ	
wgEncodeEH002098	ENCSR000CXY	
wgEncodeEH002099	ENCSR000CXX	
wgEncodeEH002100	ENCSR000CXW	
wgEncodeEH002101	ENCSR000CXV	
wgEncodeEH002102	ENCSR000CXU	
wgEncodeEH002103	ENCSR000CXT	
wgEncodeEH002104	ENCSR000CXS	
wgEncodeEH002107	ENCSR000CXR	
wgEncodeEH002150	ENCSR000CYZ	
wgEncodeEH002151	ENCSR000CYY	
wgEncodeEH002152	ENCSR000CYX	
wgEncodeEH002153	ENCSR000CYW	
wgEncodeEH002154	ENCSR000CYV	
wgEncodeEH002155	ENCSR000CYU	
wgEncodeEH002156	ENCSR000CYT	
wgEncodeEH002157	ENCSR000CYS	
wgEncodeEH002158	ENCSR000CYR	
wgEncodeEH002159	ENCSR000CYQ	
wgEncodeEH002160	ENCSR000CYP	
wgEncodeEH002161	ENCSR000CYO	
wgEncodeEH002162	ENCSR000CYN	
wgEncodeEH002163	ENCSR000CYM	
wgEncodeEH002164	ENCSR000EGN	
wgEncodeEH002165	ENCSR000DSX	
wgEncodeEH002166	ENCSR000DQP	
wgEncodeEH002167	ENCSR000DWM	
wgEncodeEH002168	ENCSR000DWL	
wgEncodeEH002169	ENCSR000DWK	
wgEncodeEH002170	ENCSR000DQO	
wgEncodeEH002171	ENCSR000DQR	
wgEncodeEH002172	ENCSR000DQQ	
wgEncodeEH002173	ENCSR000DXS	
wgEncodeEH002174	ENCSR000ABU	
wgEncodeEH002175	ENCSR000ABM	
wgEncodeEH002176	ENCSR000ACB	
wgEncodeEH002177	ENCSR000ADE	
wgEncodeEH002178	ENCSR000ACE	
wgEncodeEH002179	ENCSR000ADA	
wgEncodeEH002180	ENCSR000AAY	
wgEncodeEH002181	ENCSR000ABD	
wgEncodeEH002182	ENCSR000AAX	
wgEncodeEH002183	ENCSR000ACH	
wgEncodeEH002184	ENCSR000ADC	
wgEncodeEH002185	ENCSR000ACX	
wgEncodeEH002186	ENCSR000ACS	
wgEncodeEH002187	ENCSR000AAZ	
wgEncodeEH002188	ENCSR000ABI	
wgEncodeEH002189	ENCSR000ACP	
wgEncodeEH002190	ENCSR000ACG	
wgEncodeEH002191	ENCSR000ABR	
wgEncodeEH002192	ENCSR000ABF	
wgEncodeEH002193	ENCSR000ABW	
wgEncodeEH002194	ENCSR000ACV	
wgEncodeEH002195	ENCSR000ACM	
wgEncodeEH002196	ENCSR000ABV	
wgEncodeEH002197	ENCSR000ACL	
wgEncodeEH002198	ENCSR000ACI	
wgEncodeEH002199	ENCSR000ABA	
wgEncodeEH002200	ENCSR000ABX	
wgEncodeEH002201	ENCSR000ABY	
wgEncodeEH002202	ENCSR000ACW	
wgEncodeEH002203	ENCSR000ABN	
wgEncodeEH002204	ENCSR000ABK	
wgEncodeEH002205	ENCSR000ABS	
wgEncodeEH002206	ENCSR000ABC	
wgEncodeEH002207	ENCSR000ADG	
wgEncodeEH002208	ENCSR000ACJ	
wgEncodeEH002209	ENCSR000AAW	
wgEncodeEH002210	ENCSR000ACQ	
wgEncodeEH002211	ENCSR000ABT	
wgEncodeEH002212	ENCSR000ABO	
wgEncodeEH002213	ENCSR000ACC	
wgEncodeEH002215	ENCSR000ABJ	
wgEncodeEH002216	ENCSR000ABL	
wgEncodeEH002217	ENCSR000ACR	
wgEncodeEH002218	ENCSR000ABH	
wgEncodeEH002219	ENCSR000ABZ	
wgEncodeEH002220	ENCSR000ABB	
wgEncodeEH002221	ENCSR000ADB	
wgEncodeEH002222	ENCSR000ACO	
wgEncodeEH002223	ENCSR000ABQ	
wgEncodeEH002224	ENCSR000ACT	
wgEncodeEH002225	ENCSR000ACA	
wgEncodeEH002226	ENCSR000ABE	
wgEncodeEH002227	ENCSR000ACK	
wgEncodeEH002228	ENCSR000ACD	
wgEncodeEH002229	ENCSR000ACY	
wgEncodeEH002230	ENCSR000ACZ	
wgEncodeEH002231	ENCSR000ACN	
wgEncodeEH002232	ENCSR000ABP	
wgEncodeEH002233	ENCSR000ACF	
wgEncodeEH002234	ENCSR000ADD	
wgEncodeEH002235	ENCSR000ABG	
wgEncodeEH002263	ENCSR000BOT	
wgEncodeEH002264	ENCSR000BOU	
wgEncodeEH002265	ENCSR000BOV	
wgEncodeEH002266	ENCSR000BOW	
wgEncodeEH002267	ENCSR000BOX	
wgEncodeEH002268	ENCSR000BOY	
wgEncodeEH002269	ENCSR000BOZ	
wgEncodeEH002270	ENCSR000BPA	
wgEncodeEH002271	ENCSR000BPB	
wgEncodeEH002272	ENCSR000BPC	
wgEncodeEH002273	ENCSR000BPD	
wgEncodeEH002274	ENCSR000BPE	
wgEncodeEH002275	ENCSR000BPF	
wgEncodeEH002276	ENCSR000BPG	
wgEncodeEH002277	ENCSR000BPH	
wgEncodeEH002278	ENCSR000BPI	
wgEncodeEH002279	ENCSR000BPJ	
wgEncodeEH002280	ENCSR000BPK	
wgEncodeEH002281	ENCSR000BPL	
wgEncodeEH002282	ENCSR000BPM	
wgEncodeEH002283	ENCSR000BPN	
wgEncodeEH002284	ENCSR000BPO	
wgEncodeEH002285	ENCSR000BPP	
wgEncodeEH002286	ENCSR000BPQ	
wgEncodeEH002287	ENCSR000BPR	
wgEncodeEH002288	ENCSR000BPS	
wgEncodeEH002289	ENCSR000BPT	
wgEncodeEH002290	ENCSR000BPU	
wgEncodeEH002291	ENCSR000BPV	
wgEncodeEH002292	ENCSR000BPW	
wgEncodeEH002293	ENCSR000BPX	
wgEncodeEH002294	ENCSR000BPY	
wgEncodeEH002295	ENCSR000BPZ	
wgEncodeEH002296	ENCSR000BQA	
wgEncodeEH002297	ENCSR000BQB	
wgEncodeEH002298	ENCSR000BQC	
wgEncodeEH002299	ENCSR000BQD	
wgEncodeEH002300	ENCSR000BQE	
wgEncodeEH002301	ENCSR000BQF	
wgEncodeEH002302	ENCSR000BQG	
wgEncodeEH002303	ENCSR000BQH	
wgEncodeEH002304	ENCSR000BQI	
wgEncodeEH002305	ENCSR000BQJ	
wgEncodeEH002306	ENCSR000BQK	
wgEncodeEH002307	ENCSR000BQL	
wgEncodeEH002308	ENCSR000BQM	
wgEncodeEH002309	ENCSR000BQN	
wgEncodeEH002310	ENCSR000BQO	
wgEncodeEH002311	ENCSR000BQP	
wgEncodeEH002312	ENCSR000BQQ	
wgEncodeEH002313	ENCSR000BQR	
wgEncodeEH002314	ENCSR000BQS	
wgEncodeEH002315	ENCSR000BQT	
wgEncodeEH002316	ENCSR000BQU	
wgEncodeEH002317	ENCSR000BQV	
wgEncodeEH002318	ENCSR000BQW	
wgEncodeEH002319	ENCSR000BQX	
wgEncodeEH002320	ENCSR000BQY	
wgEncodeEH002321	ENCSR000BQZ	
wgEncodeEH002322	ENCSR000BRA	
wgEncodeEH002323	ENCSR000BRB	
wgEncodeEH002324	ENCSR000BRC	
wgEncodeEH002325	ENCSR000BRD	
wgEncodeEH002326	ENCSR000BRE	
wgEncodeEH002327	ENCSR000BRF	
wgEncodeEH002328	ENCSR000BRG	
wgEncodeEH002329	ENCSR000BRH	
wgEncodeEH002330	ENCSR000BRI	
wgEncodeEH002332	ENCSR000BRJ	
wgEncodeEH002333	ENCSR000BRK	
wgEncodeEH002341	ENCSR000BRL	
wgEncodeEH002342	ENCSR000BRM	
wgEncodeEH002343	ENCSR000BRN	
wgEncodeEH002344	ENCSR000BRO	
wgEncodeEH002345	ENCSR000BRP	
wgEncodeEH002346	ENCSR000BRQ	
wgEncodeEH002347	ENCSR000BRR	
wgEncodeEH002382	ENCSR000BRS	
wgEncodeEH002383	ENCSR000BRT	
wgEncodeEH002394	ENCSR000AQM	
wgEncodeEH002395	ENCSR000AQN	
wgEncodeEH002396	ENCSR000AQO	
wgEncodeEH002397	ENCSR000AQP	
wgEncodeEH002398	ENCSR000AQQ	
wgEncodeEH002399	ENCSR000AQR	
wgEncodeEH002400	ENCSR000AQS	
wgEncodeEH002401	ENCSR000AQT	
wgEncodeEH002402	ENCSR000AQU	
wgEncodeEH002403	ENCSR000AQV	
wgEncodeEH002404	ENCSR000AQW	
wgEncodeEH002405	ENCSR000AQX	
wgEncodeEH002406	ENCSR000AQY	
wgEncodeEH002407	ENCSR000AQZ	
wgEncodeEH002408	ENCSR000ARA	
wgEncodeEH002409	ENCSR000ARB	
wgEncodeEH002410	ENCSR000ARC	
wgEncodeEH002411	ENCSR000ARD	
wgEncodeEH002412	ENCSR000ARE	
wgEncodeEH002413	ENCSR000ARF	
wgEncodeEH002414	ENCSR000ARG	
wgEncodeEH002415	ENCSR000ARH	
wgEncodeEH002416	ENCSR000ARI	
wgEncodeEH002417	ENCSR000ARJ	
wgEncodeEH002418	ENCSR000ARK	
wgEncodeEH002419	ENCSR000ARL	
wgEncodeEH002420	ENCSR000ARM	
wgEncodeEH002421	ENCSR000ARN	
wgEncodeEH002422	ENCSR000ARO	
wgEncodeEH002423	ENCSR000ARP	
wgEncodeEH002424	ENCSR000ARQ	
wgEncodeEH002425	ENCSR000ARR	
wgEncodeEH002426	ENCSR000ARS	
wgEncodeEH002427	ENCSR000ART	
wgEncodeEH002428	ENCSR000ARU	
wgEncodeEH002429	ENCSR000ARV	
wgEncodeEH002430	ENCSR000ARW	
wgEncodeEH002431	ENCSR000ARX	
wgEncodeEH002432	ENCSR000ARY	
wgEncodeEH002433	ENCSR000ARZ	
wgEncodeEH002434	ENCSR000ASA	
wgEncodeEH002435	ENCSR000ASB	
wgEncodeEH002436	ENCSR000ASC	
wgEncodeEH002437	ENCSR000ASD	
wgEncodeEH002438	ENCSR000ASE	
wgEncodeEH002439	ENCSR000ASF	
wgEncodeEH002440	ENCSR000ASG	
wgEncodeEH002441	ENCSR000EMB	
wgEncodeEH002442	ENCSR000EMJ	
wgEncodeEH002443	ENCSR000EMS	
wgEncodeEH002444	ENCSR000ENH	
wgEncodeEH002445	ENCSR000ENQ	
wgEncodeEH002446	ENCSR000ENT	
wgEncodeEH002447	ENCSR000EOE	
wgEncodeEH002448	ENCSR000ENZ	
wgEncodeEH002449	ENCSR000EOB	
wgEncodeEH002450	ENCSR000EOO	
wgEncodeEH002451	ENCSR000EPL	
wgEncodeEH002452	ENCSR000ENA	
wgEncodeEH002453	ENCSR000ENJ	
wgEncodeEH002454	ENCSR000ENN	
wgEncodeEH002455	ENCSR000EOR	
wgEncodeEH002456	ENCSR000EPK	
wgEncodeEH002457	ENCSR000EPP	
wgEncodeEH002458	ENCSR000EPR	
wgEncodeEH002459	ENCSR000ENB	
wgEncodeEH002460	ENCSR000EOQ	
wgEncodeEH002461	ENCSR000CSA	
wgEncodeEH002462	ENCSR000CSB	
wgEncodeEH002463	ENCSR000CSC	
wgEncodeEH002464	ENCSR000CSD	
wgEncodeEH002465	ENCSR000CSE	
wgEncodeEH002466	ENCSR000CSF	
wgEncodeEH002467	ENCSR000CSG	
wgEncodeEH002468	ENCSR000CSH	
wgEncodeEH002469	ENCSR000CSI	
wgEncodeEH002470	ENCSR000CSJ	
wgEncodeEH002529	ENCSR000BRU	
wgEncodeEH002530	ENCSR000DSP	
wgEncodeEH002531	ENCSR000DSO	
wgEncodeEH002532	ENCSR000DSN	
wgEncodeEH002533	ENCSR000DSM	
wgEncodeEH002534	ENCSR000DSL	
wgEncodeEH002535	ENCSR000DSK	
wgEncodeEH002536	ENCSR000DSJ	
wgEncodeEH002537	ENCSR000DSI	
wgEncodeEH002538	ENCSR000DSH	
wgEncodeEH002539	ENCSR000DSG	
wgEncodeEH002540	ENCSR000DSF	
wgEncodeEH002541	ENCSR000DSE	
wgEncodeEH002542	ENCSR000DSD	
wgEncodeEH002543	ENCSR000DSC	
wgEncodeEH002544	ENCSR000DSB	
wgEncodeEH002545	ENCSR000DSA	
wgEncodeEH002547	ENCSR000DUH	
wgEncodeEH002548	ENCSR000DWY	
wgEncodeEH002549	ENCSR000EIN	
wgEncodeEH002550	ENCSR000EJZ	
wgEncodeEH002551	ENCSR000EKM	
wgEncodeEH002552	ENCSR000EKL	
wgEncodeEH002553	ENCSR000ELP	
wgEncodeEH002554	ENCSR000EJO	
wgEncodeEH002555	ENCSR000EIP	
wgEncodeEH002556	ENCSR000EKA	
wgEncodeEH002557	ENCSR000ELC	
wgEncodeEH002558	ENCSR000EKK	
wgEncodeEH002559	ENCSR000EKR	
wgEncodeEH002560	ENCSR000EKI	
wgEncodeEH002561	ENCSR000EKJ	
wgEncodeEH002562	ENCSR000EIF	
wgEncodeEH002563	ENCSR000EIG	
wgEncodeEH002564	ENCSR000EIO	
wgEncodeEH002565	ENCSR000EJR	
wgEncodeEH002566	ENCSR000ELS	
wgEncodeEH002567	ENCSR000EIV	
wgEncodeEH002568	ENCSR000EIW	
wgEncodeEH002569	ENCSR000EIX	
wgEncodeEH002574	ENCSR000EMO	
wgEncodeEH002575	ENCSR000EMP	
wgEncodeEH002576	ENCSR000EMY	
wgEncodeEH002577	ENCSR000EMX	
wgEncodeEH002578	ENCSR000EMW	
wgEncodeEH002579	ENCSR000ENF	
wgEncodeEH002580	ENCSR000ENG	
wgEncodeEH002581	ENCSR000EPG	
wgEncodeEH002582	ENCSR000EPN	
wgEncodeEH002583	ENCSR000EQB	
wgEncodeEH002597	ENCSR000CSK	
wgEncodeEH002598	ENCSR000CSL	
wgEncodeEH002599	ENCSR000CSM	
wgEncodeEH002600	ENCSR000CSN	
wgEncodeEH002601	ENCSR000CSO	
wgEncodeEH002604	ENCSR000CSR	
wgEncodeEH002605	ENCSR000CSS	
wgEncodeEH002606	ENCSR000CST	
wgEncodeEH002607	ENCSR000CSU	
wgEncodeEH002608	ENCSR000CSV	
wgEncodeEH002609	ENCSR000CSW	
wgEncodeEH002610	ENCSR000CSX	
wgEncodeEH002612	ENCSR000CSZ	
wgEncodeEH002613	ENCSR000CTA	
wgEncodeEH002614	ENCSR000CTB	
wgEncodeEH002615	ENCSR000CTC	
wgEncodeEH002616	ENCSR000CTD	
wgEncodeEH002617	ENCSR000CTE	
wgEncodeEH002618	ENCSR000CTF	
wgEncodeEH002619	ENCSR000CTG	
wgEncodeEH002620	ENCSR000CTH	
wgEncodeEH002621	ENCSR000CTI	
wgEncodeEH002622	ENCSR000CTJ	
wgEncodeEH002623	ENCSR000CTK	
wgEncodeEH002624	ENCSR000CTL	
wgEncodeEH002625	ENCSR000CTM	
wgEncodeEH002626	ENCSR000CTN	
wgEncodeEH002627	ENCSR000CTO	
wgEncodeEH002628	ENCSR000CTP	
wgEncodeEH002629	ENCSR000CTQ	
wgEncodeEH002630	ENCSR000CTR	
wgEncodeEH002631	ENCSR000CTS	
wgEncodeEH002632	ENCSR000CTT	
wgEncodeEH002633	ENCSR000CTU	
wgEncodeEH002665	ENCSR000CTV	
wgEncodeEH002666	ENCSR000CTW	
wgEncodeEH002667	ENCSR000CTX	
wgEncodeEH002668	ENCSR000CTY	
wgEncodeEH002669	ENCSR000CTZ	
wgEncodeEH002670	ENCSR000CUA	
wgEncodeEH002671	ENCSR000CUB	
wgEncodeEH002672	ENCSR000CUC	
wgEncodeEH002673	ENCSR000CUD	
wgEncodeEH002674	ENCSR000CUE	
wgEncodeEH002675	ENCSR000CUF	
wgEncodeEH002676	ENCSR000CUG	
wgEncodeEH002677	ENCSR000CUH	
wgEncodeEH002678	ENCSR000CUI	
wgEncodeEH002679	ENCSR000CUJ	
wgEncodeEH002680	ENCSR000CUK	
wgEncodeEH002681	ENCSR000CUL	
wgEncodeEH002682	ENCSR000CUM	
wgEncodeEH002683	ENCSR000CUN	
wgEncodeEH002684	ENCSR000CUO	
wgEncodeEH002685	ENCSR000CUP	
wgEncodeEH002686	ENCSR000CUQ	
wgEncodeEH002687	ENCSR000CUR	
wgEncodeEH002688	ENCSR000ELB	
wgEncodeEH002689	ENCSR000BFB	
wgEncodeEH002690	ENCSR000BFC	
wgEncodeEH002691	ENCSR000BFD	
wgEncodeEH002692	ENCSR000BFE	
wgEncodeEH002693	ENCSR000BFF	
wgEncodeEH002694	ENCSR000BFG	
wgEncodeEH002695	ENCSR000BFH	
wgEncodeEH002696	ENCSR000BFI	
wgEncodeEH002697	ENCSR000BFJ	
wgEncodeEH002698	ENCSR000BFK	
wgEncodeEH002699	ENCSR000BFL	
wgEncodeEH002700	ENCSR000BFM	
wgEncodeEH002701	ENCSR000BFN	
wgEncodeEH002702	ENCSR000BFO	
wgEncodeEH002703	ENCSR000BFP	
wgEncodeEH002704	ENCSR000BFQ	
wgEncodeEH002705	ENCSR000BFR	
wgEncodeEH002706	ENCSR000BFS	
wgEncodeEH002727	ENCSR000DVZ	
wgEncodeEH002728	ENCSR000DVY	
wgEncodeEH002729	ENCSR000DVX	
wgEncodeEH002730	ENCSR000DVW	
wgEncodeEH002731	ENCSR000DVV	
wgEncodeEH002736	ENCSR000CKB	
wgEncodeEH002737	ENCSR000CKC	
wgEncodeEH002738	ENCSR000CKD	
wgEncodeEH002739	ENCSR000CKE	
wgEncodeEH002740	ENCSR000CKF	
wgEncodeEH002741	ENCSR000CKG	
wgEncodeEH002742	ENCSR000CKH	
wgEncodeEH002743	ENCSR000CKI	
wgEncodeEH002744	ENCSR000CKJ	
wgEncodeEH002745	ENCSR000CKK	
wgEncodeEH002746	ENCSR000CKL	
wgEncodeEH002747	ENCSR000CKM	
wgEncodeEH002748	ENCSR000CKN	
wgEncodeEH002749	ENCSR000CKO	
wgEncodeEH002750	ENCSR000CKP	
wgEncodeEH002751	ENCSR000CKQ	
wgEncodeEH002752	ENCSR000CKR	
wgEncodeEH002753	ENCSR000CKS	
wgEncodeEH002754	ENCSR000CKT	
wgEncodeEH002755	ENCSR000CKU	
wgEncodeEH002756	ENCSR000CKV	
wgEncodeEH002757	ENCSR000CKW	
wgEncodeEH002758	ENCSR000CKX	
wgEncodeEH002759	ENCSR000CKY	
wgEncodeEH002760	ENCSR000CKZ	
wgEncodeEH002761	ENCSR000CLA	
wgEncodeEH002762	ENCSR000CLB	
wgEncodeEH002763	ENCSR000CLC	
wgEncodeEH002764	ENCSR000CLD	
wgEncodeEH002765	ENCSR000CLE	
wgEncodeEH002766	ENCSR000CLF	
wgEncodeEH002767	ENCSR000CLG	
wgEncodeEH002768	ENCSR000AXB	
wgEncodeEH002769	ENCSR000AXC	
wgEncodeEH002770	ENCSR000AXD	
wgEncodeEH002771	ENCSR000AXE	
wgEncodeEH002772	ENCSR000AXF	
wgEncodeEH002773	ENCSR000AXG	
wgEncodeEH002774	ENCSR000AXH	
wgEncodeEH002775	ENCSR000CLH	
wgEncodeEH002795	ENCSR000EBY	
wgEncodeEH002796	ENCSR000EDS	
wgEncodeEH002797	ENCSR000EGM	
wgEncodeEH002798	ENCSR000EGL	
wgEncodeEH002799	ENCSR000EGK	
wgEncodeEH002800	ENCSR000EGJ	
wgEncodeEH002801	ENCSR000EBX	
wgEncodeEH002802	ENCSR000EBW	
wgEncodeEH002803	ENCSR000EDR	
wgEncodeEH002804	ENCSR000EGI	
wgEncodeEH002805	ENCSR000EGH	
wgEncodeEH002806	ENCSR000DZF	
wgEncodeEH002807	ENCSR000EFM	
wgEncodeEH002808	ENCSR000EFL	
wgEncodeEH002809	ENCSR000EFK	
wgEncodeEH002810	ENCSR000EFJ	
wgEncodeEH002811	ENCSR000EUJ	
wgEncodeEH002812	ENCSR000EWS	
wgEncodeEH002813	ENCSR000EVE	
wgEncodeEH002814	ENCSR000EGG	
wgEncodeEH002815	ENCSR000DOT	
wgEncodeEH002816	ENCSR000DOS	
wgEncodeEH002817	ENCSR000DYJ	
wgEncodeEH002818	ENCSR000DYI	
wgEncodeEH002819	ENCSR000DYH	
wgEncodeEH002820	ENCSR000DYG	
wgEncodeEH002821	ENCSR000DYF	
wgEncodeEH002822	ENCSR000DYE	
wgEncodeEH002823	ENCSR000DZE	
wgEncodeEH002824	ENCSR000DZD	
wgEncodeEH002825	ENCSR000EBV	
wgEncodeEH002826	ENCSR000EBU	
wgEncodeEH002827	ENCSR000EBT	
wgEncodeEH002828	ENCSR000EBS	
wgEncodeEH002829	ENCSR000EBR	
wgEncodeEH002830	ENCSR000ECN	
wgEncodeEH002831	ENCSR000EFI	
wgEncodeEH002832	ENCSR000EFH	
wgEncodeEH002833	ENCSR000EGF	
wgEncodeEH002834	ENCSR000EGE	
wgEncodeEH002835	ENCSR000DOR	
wgEncodeEH002836	ENCSR000DOQ	
wgEncodeEH002837	ENCSR000DOP	
wgEncodeEH002838	ENCSR000DOO	
wgEncodeEH002839	ENCSR000DON	
wgEncodeEH002840	ENCSR000DOM	
wgEncodeEH002841	ENCSR000DZC	
wgEncodeEH002842	ENCSR000EBQ	
wgEncodeEH002843	ENCSR000EBP	
wgEncodeEH002844	ENCSR000ECM	
wgEncodeEH002845	ENCSR000EDQ	
wgEncodeEH002846	ENCSR000EGD	
wgEncodeEH002847	ENCSR000EGC	
wgEncodeEH002848	ENCSR000EGB	
wgEncodeEH002849	ENCSR000EGA	
wgEncodeEH002850	ENCSR000EFZ	
wgEncodeEH002851	ENCSR000DZB	
wgEncodeEH002852	ENCSR000DZA	
wgEncodeEH002853	ENCSR000DYZ	
wgEncodeEH002854	ENCSR000EBO	
wgEncodeEH002855	ENCSR000ECL	
wgEncodeEH002856	ENCSR000ECK	
wgEncodeEH002857	ENCSR000ECJ	
wgEncodeEH002858	ENCSR000EDP	
wgEncodeEH002859	ENCSR000EDO	
wgEncodeEH002860	ENCSR000EDN	
wgEncodeEH002861	ENCSR000EFY	
wgEncodeEH002862	ENCSR000EFX	
wgEncodeEH002863	ENCSR000EFW	
wgEncodeEH002864	ENCSR000ECI	
wgEncodeEH002865	ENCSR000DNZ	
wgEncodeEH002866	ENCSR000EUI	
wgEncodeEH002867	ENCSR000DYY	
wgEncodeEH002868	ENCSR000DYX	
wgEncodeEH002869	ENCSR000EFV	
wgEncodeEH002870	ENCSR000EUH	
wgEncodeEH002871	ENCSR000DOL	
wgEncodeEH002872	ENCSR000EWR	
wgEncodeEH002873	ENCSR000EUT	
wgEncodeEH002874	ENCSR000EUS	
wgEncodeEH002875	ENCSR000EWQ	
wgEncodeEH002876	ENCSR000EXI	
wgEncodeEH002877	ENCSR000CUS	
wgEncodeEH002878	ENCSR000CUT	
wgEncodeEH002879	ENCSR000CUU	
wgEncodeEH002880	ENCSR000CUV	
wgEncodeEH002881	ENCSR000CUW	
wgEncodeEH002882	ENCSR000CUX	
wgEncodeEH002883	ENCSR000CUY	
wgEncodeEH002884	ENCSR000CUZ	
wgEncodeEH002885	ENCSR000CVA	
wgEncodeEH002886	ENCSR000CVB	
wgEncodeEH002887	ENCSR000CVC	
wgEncodeEH002888	ENCSR000CVD	
wgEncodeEH002889	ENCSR000CVE	
wgEncodeEH002890	ENCSR000CVF	
wgEncodeEH002891	ENCSR000CVG	
wgEncodeEH002892	ENCSR000CVH	
wgEncodeEH002893	ENCSR000CVI	
wgEncodeEH002894	ENCSR000CVJ	
wgEncodeEH002895	ENCSR000CVK	
wgEncodeEH002896	ENCSR000CVL	
wgEncodeEH002897	ENCSR000CVM	
wgEncodeEH002898	ENCSR000CVN	
wgEncodeEH002922	ENCSR000EWP	
wgEncodeEH002923	ENCSR000EWO	
wgEncodeEH002924	ENCSR000BCT	
wgEncodeEH002925	ENCSR000BCU	
wgEncodeEH002926	ENCSR000BCV	
wgEncodeEH002927	ENCSR000BCW	
wgEncodeEH002928	ENCSR000BCX	
wgEncodeEH002929	ENCSR000BCY	
wgEncodeEH002930	ENCSR000BCZ	
wgEncodeEH002931	ENCSR000BDA	
wgEncodeEH002932	ENCSR000BDB	
wgEncodeEH002933	ENCSR000BDC	
wgEncodeEH002934	ENCSR000BDD	
wgEncodeEH002935	ENCSR000BDE	
wgEncodeEH002942	ENCSR000CVO	
wgEncodeEH002943	ENCSR000CVP	
wgEncodeEH002944	ENCSR000CVQ	
wgEncodeEH002945	ENCSR000CVR	
wgEncodeEH002946	ENCSR000CVS	
wgEncodeEH002984	ENCSR612UOK	
wgEncodeEH002985	ENCSR000DJV	
wgEncodeEH002986	ENCSR000DJU	
wgEncodeEH002987	ENCSR000DJT	
wgEncodeEH002988	ENCSR000DJS	
wgEncodeEH002989	ENCSR000DJR	
wgEncodeEH002990	ENCSR000DJQ	
wgEncodeEH002991	ENCSR000DJP	
wgEncodeEH002992	ENCSR000DJO	
wgEncodeEH002993	ENCSR000DJN	
wgEncodeEH002994	ENCSR000DJM	
wgEncodeEH002995	ENCSR000DJL	
wgEncodeEH002996	ENCSR000DJK	
wgEncodeEH002997	ENCSR000DJJ	
wgEncodeEH002998	ENCSR000DJI	
wgEncodeEH002999	ENCSR000DJH	
wgEncodeEH003000	ENCSR000DJG	
wgEncodeEH003001	ENCSR000DJF	
wgEncodeEH003002	ENCSR000DJE	
wgEncodeEH003003	ENCSR000DJD	
wgEncodeEH003004	ENCSR000DJC	
wgEncodeEH003005	ENCSR000EPE	
wgEncodeEH003006	ENCSR000EPD	
wgEncodeEH003007	ENCSR000EPV	
wgEncodeEH003017	ENCSR000EPI	
wgEncodeEH003018	ENCSR000EPH	
wgEncodeEH003019	ENCSR000EMV	
wgEncodeEH003020	ENCSR000EQF	
wgEncodeEH003021	ENCSR000EQD	
wgEncodeEH003022	ENCSR000EQE	
wgEncodeEH003023	ENCSR000EQH	
wgEncodeEH003024	ENCSR000EQI	
wgEncodeEH003025	ENCSR000EQJ	
wgEncodeEH003026	ENCSR000EQK	
wgEncodeEH003027	ENCSR000EML	
wgEncodeEH003028	ENCSR000EMM	
wgEncodeEH003029	ENCSR000EMF	
