accession	encodeDAccession	notes
wgEncodeEH000285	ENCSR000BXH	
wgEncodeEH000286	ENCSR000BXI	
wgEncodeEH000287	ENCSR000BXJ	
wgEncodeEH000288	ENCSR000BXK	
wgEncodeEH000289	ENCSR000BXL	
wgEncodeEH000290	ENCSR000BXM	
wgEncodeEH000291	ENCSR000BXN	
wgEncodeEH000294	ENCSR000BXO	
wgEncodeEH000297	ENCSR000BXP	
wgEncodeEH000300	ENCSR000BXQ	
wgEncodeEH000303	ENCSR000BXR	
wgEncodeEH000306	ENCSR000BXS	
wgEncodeEH000309	ENCSR000BXT	
wgEncodeEH000312	ENCSR000BXU	
wgEncodeEH000313	ENCSR000BXV	
wgEncodeEH000314	ENCSR000BXW	
wgEncodeEH000315	ENCSR000BXX	
wgEncodeEH000329	ENCSR000CII	
wgEncodeEH000330	ENCSR000CIJ	
wgEncodeEH000331	ENCSR000CIK	
wgEncodeEH000332	ENCSR000CIL	
wgEncodeEH000333	ENCSR000CIM	
wgEncodeEH000334	ENCSR000CIN	
wgEncodeEH000335	ENCSR000CIO	
wgEncodeEH000336	ENCSR000CIP	
wgEncodeEH000337	ENCSR000CIQ	
wgEncodeEH000338	ENCSR000CIR	
wgEncodeEH000339	ENCSR000CIS	
wgEncodeEH000340	ENCSR000CIT	
wgEncodeEH000341	ENCSR000CIU	
wgEncodeEH000342	ENCSR000CIV	
wgEncodeEH000343	ENCSR000CIW	
wgEncodeEH000344	ENCSR000CIX	
wgEncodeEH000345	ENCSR000CIY	
wgEncodeEH000346	ENCSR000CIZ	
wgEncodeEH000347	ENCSR000CJA	
wgEncodeEH000355	ENCSR000DBR	
wgEncodeEH000356	ENCSR000DBQ	
wgEncodeEH000357	ENCSR000DBP	
wgEncodeEH000358	ENCSR000DBO	
wgEncodeEH000359	ENCSR000DBN	
wgEncodeEH000360	ENCSR000DBM	
wgEncodeEH000361	ENCSR000DBL	
wgEncodeEH000362	ENCSR000DBK	
wgEncodeEH000363	ENCSR000DBJ	
wgEncodeEH000364	ENCSR000DBI	
wgEncodeEH000365	ENCSR000DBH	
wgEncodeEH000366	ENCSR000DBG	
wgEncodeEH000367	ENCSR000DBF	
wgEncodeEH000368	ENCSR000DBE	
wgEncodeEH000369	ENCSR000DBD	
wgEncodeEH000370	ENCSR000DBC	
wgEncodeEH000371	ENCSR000DBB	
wgEncodeEH000372	ENCSR000DBA	
wgEncodeEH000373	ENCSR000DAZ	
wgEncodeEH000374	ENCSR000DAY	
wgEncodeEH000375	ENCSR000DAX	
wgEncodeEH000376	ENCSR000DAW	
wgEncodeEH000377	ENCSR000DAV	
wgEncodeEH000378	ENCSR000DAU	
wgEncodeEH000379	ENCSR000DAT	
wgEncodeEH000380	ENCSR000DAS	
wgEncodeEH000381	ENCSR000DAR	
wgEncodeEH000382	ENCSR000DAQ	
wgEncodeEH000383	ENCSR000DAP	
wgEncodeEH000384	ENCSR000DAO	
wgEncodeEH000385	ENCSR000DAN	
wgEncodeEH000386	ENCSR000DAM	
wgEncodeEH000387	ENCSR000DAL	
wgEncodeEH000388	ENCSR000DAK	
wgEncodeEH000389	ENCSR000DAJ	
wgEncodeEH000390	ENCSR000DAI	
wgEncodeEH000391	ENCSR000DAH	
wgEncodeEH000392	ENCSR000DQW	
wgEncodeEH000393	ENCSR000DQY	
wgEncodeEH000394	ENCSR000DRZ	
wgEncodeEH000395	ENCSR000DRY	
wgEncodeEH000396	ENCSR000DTW	
wgEncodeEH000397	ENCSR000DUP	
wgEncodeEH000398	ENCSR000DUB	
wgEncodeEH000399	ENCSR000DWE	
wgEncodeEH000400	ENCSR000DWD	
wgEncodeEH000401	ENCSR000DUG	
wgEncodeEH000402	ENCSR000DXW	
wgEncodeEH000403	ENCSR000DQI	
wgEncodeEH000404	ENCSR000DQN	
wgEncodeEH000405	ENCSR000DVH	
wgEncodeEH000406	ENCSR000DWX	
wgEncodeEH000407	ENCSR000DQM	
wgEncodeEH000408	ENCSR000DUT	
wgEncodeEH000409	ENCSR000DVG	
wgEncodeEH000410	ENCSR000DVP	
wgEncodeEH000411	ENCSR000DVO	
wgEncodeEH000412	ENCSR000DVN	
wgEncodeEH000413	ENCSR000DUF	
wgEncodeEH000414	ENCSR000DWW	
wgEncodeEH000415	ENCSR000DWV	
wgEncodeEH000416	ENCSR000DQH	
wgEncodeEH000417	ENCSR000DQV	
wgEncodeEH000418	ENCSR000DUO	
wgEncodeEH000419	ENCSR000DUS	
wgEncodeEH000420	ENCSR000DXK	
wgEncodeEH000421	ENCSR000DXJ	
wgEncodeEH000422	ENCSR000DXR	
wgEncodeEH000423	ENCSR000DUA	
wgEncodeEH000424	ENCSR000DQG	
wgEncodeEH000425	ENCSR000DQL	
wgEncodeEH000426	ENCSR000DQK	
wgEncodeEH000427	ENCSR000DQU	
wgEncodeEH000428	ENCSR000DRX	
wgEncodeEH000429	ENCSR000DVF	
wgEncodeEH000430	ENCSR000DVE	
wgEncodeEH000431	ENCSR000DVM	
wgEncodeEH000432	ENCSR000DTZ	
wgEncodeEH000433	ENCSR000DUE	
wgEncodeEH000434	ENCSR000DWC	
wgEncodeEH000435	ENCSR000DWB	
wgEncodeEH000436	ENCSR000DWU	
wgEncodeEH000437	ENCSR000DXI	
wgEncodeEH000438	ENCSR000DXH	
wgEncodeEH000439	ENCSR000DXQ	
wgEncodeEH000440	ENCSR000DXP	
wgEncodeEH000441	ENCSR000DXO	
wgEncodeEH000442	ENCSR000DTY	
wgEncodeEH000443	ENCSR000DQF	
wgEncodeEH000444	ENCSR000DQT	
wgEncodeEH000445	ENCSR000DRW	
wgEncodeEH000446	ENCSR000DUD	
wgEncodeEH000447	ENCSR000DRB	
wgEncodeEH000448	ENCSR000DRE	
wgEncodeEH000449	ENCSR000DRN	
wgEncodeEH000450	ENCSR000DRP	
wgEncodeEH000451	ENCSR000DRR	
wgEncodeEH000452	ENCSR000DRU	
wgEncodeEH000453	ENCSR000DQE	
wgEncodeEH000454	ENCSR000DQJ	
wgEncodeEH000455	ENCSR000DQS	
wgEncodeEH000456	ENCSR000DQX	
wgEncodeEH000457	ENCSR000DRA	
wgEncodeEH000458	ENCSR000DRD	
